Rank,Player,Team,Blocks,PerGame
225,Jason Garrison,FLA,52,1.33
226,Mikko Koivu,MIN,52,0.65
227,Drew Miller,DET,52,0.65
228,Radek Dvorak,FLA,52,0.68
229,Anze Kopitar,LA,51,0.62
230,Eric Nystrom,CGY,51,0.62
231,Travis Moen,MON,51,0.63
232,Christoph Schubert,ATL,51,1.09
233,Kamil Kreps,FLA,50,0.66
234,Tom Kostopoulos,CAR,50,0.61
235,Jonathan Ericsson,DET,49,0.79
236,Pascal Dupuis,PIT,49,0.6
237,Ryan Getzlaf,ANH,49,0.74
238,Aaron Rome,VAN,49,1
239,Marty Reasoner,ATL,49,0.61
240,Rostislav Klesla,CLS,49,1.88
241,Matt Cullen,OTT,48,0.59
242,Erik Karlsson,OTT,48,0.8
243,Darren Helm,DET,48,0.64
244,Claude Giroux,PHI,48,0.59
245,Loui Eriksson,DAL,48,0.59
246,Brenden Morrow,DAL,48,0.63
247,Derek Roy,BUF,47,0.59
248,Andrej Sekera,BUF,47,0.96
249,Jeff Halpern,LA,47,0.66
250,Marc-Andre Bergeron,MON,47,0.78
251,Vernon Fiddler,PHO,47,0.62
252,Stephane Yelle,COL,47,0.67
253,Jay Harrison,CAR,46,1.21
254,David Legwand,NSH,46,0.56
255,Tim Connolly,BUF,46,0.63
256,Troy Brouwer,CHI,46,0.59
257,Ruslan Fedotenko,PIT,46,0.58
258,Mark Fraser,NJ,46,0.75
259,Chris Higgins,CGY,45,0.67
260,Patrice Bergeron,BOS,45,0.62
261,Jarkko Ruutu,OTT,45,0.55
262,Brandon Sutter,CAR,45,0.63
263,Chris Kelly,OTT,44,0.54
264,Kyle Okposo,NYI,44,0.55
265,Mike Grier,BUF,44,0.6
266,Brent Burns,MIN,44,0.94
267,Patrick Eaves,DET,44,0.68
268,Rene Bourque,CGY,44,0.6
269,Toby Petersen,DAL,43,0.55
270,Sidney Crosby,PIT,43,0.53
271,Dustin Boyd,NSH,43,0.55
272,T.J. Galiardi,COL,43,0.61
273,Alexei Ponikarovsky,PIT,43,0.56
274,Dustin Penner,EDM,43,0.52
275,Jochen Hecht,BUF,43,0.54
276,Jeff Woywitka,DAL,42,1.17
277,Martin Hanzal,PHO,42,0.52
278,Matt Stajan,CGY,42,0.51
279,Ryan Parent,PHI,42,0.88
280,Ethan Moreau,EDM,42,0.55
281,Nikolai Kulemin,TOR,41,0.53
282,Frans Nielsen,NYI,41,0.54
283,Jerred Smithson,NSH,41,0.59
284,Brian Boyle,NYR,41,0.58
285,Craig Conroy,CGY,41,0.65
286,Artem Anisimov,NYR,41,0.5
287,Jason Pominville,BUF,41,0.5
288,Matt Smaby,TB,41,1.24
289,Aaron Johnson,EDM,41,1
290,Brett Lebda,DET,41,0.65
291,Jordan Staal,PIT,41,0.5
292,Darroll Powe,PHI,40,0.63
293,Jay Leach,SJ,40,1.14
294,Tim Jackman,NYI,40,0.74
295,Jason Demers,SJ,40,0.78
296,Tom Wandell,DAL,40,0.8
297,Antoine Vermette,CLS,40,0.49
298,John Mitchell,TOR,40,0.67
299,Martin St. Louis,TB,40,0.49
300,Brooks Laich,WAS,39,0.5
301,Jamie Benn,DAL,39,0.48
302,Radek Martinek,NYI,39,2.44
303,Alex Steen,STL,39,0.57
304,Dustin Byfuglien,CHI,38,0.46
305,Olli Jokinen,NYR,38,0.46
306,Manny Malhotra,SJ,38,0.54
307,Dave Steckel,WAS,38,0.48
308,Steven Stamkos,TB,38,0.46
309,Sean Bergenheim,NYI,37,0.59
310,David Krejci,BOS,37,0.47
311,Chris Thorburn,ATL,37,0.49
312,Maxim Lapierre,MON,36,0.47
313,Scott Nichol,SJ,36,0.46
314,Josh Bailey,NYI,36,0.49
315,Jarome Iginla,CGY,36,0.44
316,Martin Erat,NSH,36,0.49
317,Patrick Kaleta,BUF,36,0.65
318,Daniel Alfredsson,OTT,36,0.51
319,Jon Sim,NYI,36,0.47
320,Brandon Dubinsky,NYR,36,0.52
321,Fredrik Sjostrom,TOR,35,0.54
322,Nik Antropov,ATL,35,0.46
323,Dany Heatley,SJ,35,0.43
324,Samuel Pahlsson,CLS,35,0.44
325,Rostislav Olesz,FLA,34,0.44
326,Robert Nilsson,EDM,34,0.57
327,Zach Parise,NJ,34,0.42
328,Chuck Kobasew,MIN,34,0.69
329,Corey Perry,ANH,34,0.41
330,Scott Gomez,MON,34,0.44
331,Paul Gaustad,BUF,34,0.52
332,Henrik Zetterberg,DET,34,0.46
333,Rich Peverley,ATL,34,0.41
334,Mike Knuble,WAS,34,0.49
335,Dominic Moore,MON,34,0.49
336,Jarret Stoll,LA,34,0.47
337,Jamie McBain,CAR,34,2.43
338,Jeff Carter,PHI,34,0.46
339,Jonathan Toews,CHI,33,0.43
340,Pavel Datsyuk,DET,33,0.41
341,Petteri Nokelainen,PHO,33,0.49
342,Mathieu Schneider,PHO,33,1.32
343,Brian Gionta,MON,33,0.54
344,Rickard Wallin,TOR,33,0.55
345,Ryane Clowe,SJ,33,0.4
346,Patrick Marleau,SJ,33,0.4
347,Andrew Ladd,CHI,33,0.4
348,Blake Wheeler,BOS,33,0.4
349,Steve Bernier,VAN,32,0.54
350,Michael Frolik,FLA,32,0.39
351,John Carlson,WAS,32,1.45
352,Nigel Dawes,CGY,32,0.48
353,James Neal,DAL,32,0.41
354,Steve Begin,BOS,32,0.42
355,Wayne Simmonds,LA,32,0.41
356,Clarke MacArthur,ATL,32,0.4
357,Sheldon Souray,EDM,31,0.84
358,Blake Comeau,NYI,31,0.51
359,Rod Brind'Amour,CAR,31,0.39
360,Brendan Morrison,WAS,31,0.42
361,James Sheppard,MIN,31,0.48
362,David Moss,CGY,31,0.48
363,Marian Gaborik,NYR,31,0.41
364,B.J. Crombeen,STL,31,0.39
365,Jed Ortmeyer,SJ,31,0.41
366,Jamal Mayers,CGY,30,0.42
367,Milan Michalek,OTT,30,0.45
368,Anssi Salmela,NJ,30,0.79
369,Zack Stortini,EDM,30,0.39
370,Andrew Ebbett,MIN,30,0.49
371,Alex Tanguay,TB,30,0.38
372,Antti Miettinen,MIN,30,0.38
373,Taylor Pyatt,PHO,30,0.41
374,Paul Szczechura,TB,30,0.58
375,Scott Hartnell,PHI,30,0.37
376,Eric Belanger,WAS,29,0.38
377,Cal Clutterbuck,MIN,29,0.39
378,Travis Zajac,NJ,29,0.35
379,Wojtek Wolski,PHO,29,0.36
380,Glen Metropolit,MON,29,0.42
381,Niklas Hagman,CGY,29,0.35
382,Fredrik Modin,LA,29,0.66
383,Vinny Prospal,NYR,29,0.39
384,Matthew Lombardi,PHO,29,0.37
385,Pat Dwyer,CAR,29,0.5
386,Wayne Primeau,TOR,29,0.49
387,Joe Thornton,SJ,29,0.37
388,Stephane Veilleux,TB,29,0.38
389,Colby Armstrong,ATL,29,0.37
390,Kyle Chipchura,ANH,28,0.38
391,Mike Comrie,EDM,28,0.65
392,Scott Parse,LA,28,0.47
393,Andrew Cogliano,EDM,28,0.34
394,Curtis Glencross,CGY,28,0.42
395,Cody McLeod,COL,28,0.38
396,Andy McDonald,STL,28,0.35
397,John Tavares,NYI,28,0.34
398,Matt Duchene,COL,28,0.35
399,Todd White,ATL,28,0.43
400,Jim Slater,ATL,28,0.46
401,Brian Lee,OTT,27,1.17
402,Michael Cammalleri,MON,27,0.42
403,Mike Ribeiro,DAL,27,0.41
404,Colin Fraser,CHI,27,0.39
405,Ray Whitney,CAR,27,0.34
406,Jay Pandolfo,NJ,27,0.52
407,Mikhail Grabovski,TOR,27,0.46
408,Peter Regin,OTT,27,0.36
409,Brett Festerling,ANH,27,0.64
410,Marcel Goc,NSH,26,0.36
411,Lauri Korpikoski,PHO,26,0.37
412,Kris Versteeg,CHI,26,0.33
413,Patric Hornqvist,NSH,26,0.33
414,Colton Orr,TOR,26,0.32
415,Nolan Baumgartner,VAN,26,2.17
416,Jason Blake,ANH,26,0.32
417,Simon Gagne,PHI,26,0.45
418,Dustin Brown,LA,25,0.3
419,Gilbert Brule,EDM,25,0.38
420,Paul Kariya,STL,25,0.33
421,Lee Stempniak,PHO,25,0.31
422,Ryan Smyth,LA,25,0.37
423,Rick Rypien,VAN,25,0.36
424,Dylan Reese,NYI,25,1.32
425,Valtteri Filppula,DET,25,0.45
426,Derek Meech,DET,25,0.51
427,Danny Cleary,DET,25,0.39
428,Rick Nash,CLS,25,0.33
429,Kirk Maltby,DET,25,0.48
430,Shane Doan,PHO,25,0.3
431,Jussi Jokinen,CAR,25,0.31
432,Evgeni Malkin,PIT,25,0.37
433,Brad Lukowich,VAN,25,1.92
434,Max Pacioretty,MON,25,0.48
435,Patrick Sharp,CHI,24,0.29
436,Fernando Pisani,EDM,24,0.6
437,Daniel Paille,BOS,24,0.32
438,Dainius Zubrus,NJ,24,0.47
439,Derek Dorsett,CLS,24,0.47
440,Marco Sturm,BOS,24,0.32
441,Anders Eriksson,NYR,24,1.2
